# LAMMPS data file written by OVITO Basic 3.7.5
4850 atoms
4 atom types
0.0 52.686 xlo xhi
0.0 52.686 ylo yhi
0.0 52.686 zlo zhi
0 0 0 xy xz yz

Masses

1 63.546  # Cu
2 1.00794  # H
3 12.0107  # C
4 15.9994  # O

Atoms  # charge

183 1 0.0 31.9988421 39.5145 7.5156579
184 1 0.0 7.5156579 7.5156579 26.343
185 1 0.0 7.5156579 20.6871579 39.5145
186 1 0.0 20.6871579 7.5156579 39.5145
187 1 0.0 20.6871579 20.6871579 26.343
188 1 0.0 18.8273421 18.8273421 26.343
189 1 0.0 18.8273421 5.6558421 39.5145
190 1 0.0 5.6558421 18.8273421 39.5145
191 1 0.0 5.6558421 5.6558421 26.343
192 1 0.0 18.8273421 7.5156579 26.343
193 1 0.0 18.8273421 20.6871579 39.5145
194 1 0.0 5.6558421 7.5156579 39.5145
195 1 0.0 5.6558421 20.6871579 26.343
196 1 0.0 7.5156579 18.8273421 26.343
197 1 0.0 7.5156579 5.6558421 39.5145
198 1 0.0 20.6871579 18.8273421 39.5145
199 1 0.0 20.6871579 5.6558421 26.343
200 1 0.0 0.0 7.5156579 33.8586579
201 1 0.0 0.0 20.6871579 47.0301579
202 1 0.0 13.1715 7.5156579 47.0301579
203 1 0.0 0.0 18.8273421 45.1703421
204 1 0.0 0.0 5.6558421 31.9988421
205 1 0.0 13.1715 5.6558421 45.1703421
206 1 0.0 0.0 18.8273421 33.8586579
207 1 0.0 0.0 5.6558421 47.0301579
208 1 0.0 13.1715 18.8273421 47.0301579
209 1 0.0 0.0 7.5156579 45.1703421
210 1 0.0 0.0 20.6871579 31.9988421
211 1 0.0 13.1715 20.6871579 45.1703421
212 1 0.0 7.5156579 0.0 33.8586579
213 1 0.0 7.5156579 13.1715 47.0301579
214 1 0.0 20.6871579 0.0 47.0301579
215 1 0.0 20.6871579 13.1715 33.8586579
216 1 0.0 18.8273421 0.0 45.1703421
217 1 0.0 18.8273421 13.1715 31.9988421
218 1 0.0 5.6558421 0.0 31.9988421
219 1 0.0 5.6558421 13.1715 45.1703421
220 1 0.0 7.5156579 0.0 45.1703421
221 1 0.0 7.5156579 13.1715 31.9988421
222 1 0.0 20.6871579 0.0 31.9988421
223 1 0.0 20.6871579 13.1715 45.1703421
224 1 0.0 18.8273421 0.0 33.8586579
225 1 0.0 18.8273421 13.1715 47.0301579
226 1 0.0 5.6558421 0.0 47.0301579
227 1 0.0 5.6558421 13.1715 33.8586579
228 1 0.0 33.8586579 7.5156579 26.343
229 1 0.0 33.8586579 20.6871579 39.5145
230 1 0.0 47.0301579 7.5156579 39.5145
231 1 0.0 47.0301579 20.6871579 26.343
232 1 0.0 45.1703421 18.8273421 26.343
233 1 0.0 45.1703421 5.6558421 39.5145
234 1 0.0 31.9988421 18.8273421 39.5145
235 1 0.0 31.9988421 5.6558421 26.343
236 1 0.0 45.1703421 7.5156579 26.343
237 1 0.0 45.1703421 20.6871579 39.5145
238 1 0.0 31.9988421 7.5156579 39.5145
239 1 0.0 31.9988421 20.6871579 26.343
240 1 0.0 33.8586579 18.8273421 26.343
241 1 0.0 33.8586579 5.6558421 39.5145
242 1 0.0 47.0301579 18.8273421 39.5145
243 1 0.0 47.0301579 5.6558421 26.343
244 1 0.0 26.343 7.5156579 33.8586579
245 1 0.0 26.343 20.6871579 47.0301579
246 1 0.0 39.5145 7.5156579 47.0301579
247 1 0.0 39.5145 20.6871579 33.8586579
248 1 0.0 26.343 18.8273421 45.1703421
249 1 0.0 26.343 5.6558421 31.9988421
250 1 0.0 39.5145 18.8273421 31.9988421
251 1 0.0 39.5145 5.6558421 45.1703421
252 1 0.0 26.343 18.8273421 33.8586579
253 1 0.0 26.343 5.6558421 47.0301579
254 1 0.0 39.5145 18.8273421 47.0301579
255 1 0.0 39.5145 5.6558421 33.8586579
256 1 0.0 26.343 7.5156579 45.1703421
257 1 0.0 26.343 20.6871579 31.9988421
258 1 0.0 39.5145 7.5156579 31.9988421
259 1 0.0 39.5145 20.6871579 45.1703421
260 1 0.0 33.8586579 0.0 33.8586579
261 1 0.0 33.8586579 13.1715 47.0301579
262 1 0.0 47.0301579 0.0 47.0301579
263 1 0.0 47.0301579 13.1715 33.8586579
264 1 0.0 45.1703421 0.0 45.1703421
265 1 0.0 45.1703421 13.1715 31.9988421
266 1 0.0 31.9988421 0.0 31.9988421
267 1 0.0 31.9988421 13.1715 45.1703421
268 1 0.0 33.8586579 13.1715 31.9988421
269 1 0.0 47.0301579 0.0 31.9988421
270 1 0.0 47.0301579 13.1715 45.1703421
271 1 0.0 45.1703421 0.0 33.8586579
272 1 0.0 45.1703421 13.1715 47.0301579
273 1 0.0 31.9988421 13.1715 33.8586579
274 1 0.0 7.5156579 33.8586579 26.343
275 1 0.0 7.5156579 47.0301579 39.5145
276 1 0.0 20.6871579 33.8586579 39.5145
277 1 0.0 20.6871579 47.0301579 26.343
278 1 0.0 18.8273421 45.1703421 26.343
279 1 0.0 18.8273421 31.9988421 39.5145
280 1 0.0 5.6558421 45.1703421 39.5145
281 1 0.0 5.6558421 31.9988421 26.343
282 1 0.0 18.8273421 33.8586579 26.343
283 1 0.0 18.8273421 47.0301579 39.5145
284 1 0.0 5.6558421 33.8586579 39.5145
285 1 0.0 5.6558421 47.0301579 26.343
286 1 0.0 7.5156579 45.1703421 26.343
287 1 0.0 7.5156579 31.9988421 39.5145
288 1 0.0 20.6871579 45.1703421 39.5145
289 1 0.0 20.6871579 31.9988421 26.343
290 1 0.0 0.0 33.8586579 33.8586579
291 1 0.0 0.0 47.0301579 47.0301579
292 1 0.0 13.1715 33.8586579 47.0301579
293 1 0.0 13.1715 47.0301579 33.8586579
294 1 0.0 0.0 45.1703421 45.1703421
295 1 0.0 0.0 31.9988421 31.9988421
296 1 0.0 13.1715 45.1703421 31.9988421
297 1 0.0 13.1715 31.9988421 45.1703421
298 1 0.0 0.0 45.1703421 33.8586579
299 1 0.0 0.0 31.9988421 47.0301579
300 1 0.0 13.1715 45.1703421 47.0301579
301 1 0.0 13.1715 31.9988421 33.8586579
302 1 0.0 0.0 33.8586579 45.1703421
303 1 0.0 0.0 47.0301579 31.9988421
304 1 0.0 13.1715 33.8586579 31.9988421
305 1 0.0 13.1715 47.0301579 45.1703421
306 1 0.0 7.5156579 39.5145 47.0301579
307 1 0.0 20.6871579 26.343 47.0301579
308 1 0.0 20.6871579 39.5145 33.8586579
309 1 0.0 18.8273421 26.343 45.1703421
310 1 0.0 18.8273421 39.5145 31.9988421
311 1 0.0 5.6558421 39.5145 45.1703421
312 1 0.0 7.5156579 26.343 45.1703421
313 1 0.0 20.6871579 26.343 31.9988421
314 1 0.0 18.8273421 26.343 33.8586579
315 1 0.0 5.6558421 26.343 47.0301579
316 1 0.0 33.8586579 33.8586579 26.343
317 1 0.0 33.8586579 47.0301579 39.5145
318 1 0.0 47.0301579 33.8586579 39.5145
319 1 0.0 47.0301579 47.0301579 26.343
320 1 0.0 45.1703421 45.1703421 26.343
321 1 0.0 45.1703421 31.9988421 39.5145
322 1 0.0 31.9988421 45.1703421 39.5145
323 1 0.0 31.9988421 31.9988421 26.343
