# LAMMPS data file written by OVITO Basic 3.7.5
4992 atoms
4 atom types
0.0 52.686 xlo xhi
0.0 52.686 ylo yhi
0.0 52.686 zlo zhi
0 0 0 xy xz yz

Masses

1 15.9994  # O
2 63.546  # Cu
3 12.0107  # C
4 1.00794  # H

Atoms  # charge

151 1 0.0 19.5754833 8.3401938 11.7963954
152 1 0.0 19.5754833 21.5116938 24.9678954
153 1 0.0 19.9390167 8.3401938 1.3751046
154 1 0.0 19.9390167 21.5116938 14.5466046
155 1 0.0 6.7675167 8.3401938 14.5466046
156 1 0.0 6.7675167 21.5116938 1.3751046
157 1 0.0 6.4039833 18.0028062 1.3751046
158 1 0.0 6.4039833 4.8313062 14.5466046
159 1 0.0 19.5754833 18.0028062 14.5466046
160 1 0.0 19.5754833 4.8313062 1.3751046
161 1 0.0 18.0028062 1.3751046 6.4039833
162 1 0.0 18.0028062 14.5466046 19.5754833
163 1 0.0 4.8313062 1.3751046 19.5754833
164 1 0.0 4.8313062 14.5466046 6.4039833
165 1 0.0 8.3401938 1.3751046 19.9390167
166 1 0.0 8.3401938 14.5466046 6.7675167
167 1 0.0 21.5116938 1.3751046 6.7675167
168 1 0.0 21.5116938 14.5466046 19.9390167
169 1 0.0 8.3401938 24.9678954 6.4039833
170 1 0.0 8.3401938 11.7963954 19.5754833
171 1 0.0 21.5116938 24.9678954 19.5754833
172 1 0.0 21.5116938 11.7963954 6.4039833
173 1 0.0 18.0028062 24.9678954 19.9390167
174 1 0.0 18.0028062 11.7963954 6.7675167
175 1 0.0 4.8313062 24.9678954 6.7675167
176 1 0.0 4.8313062 11.7963954 19.9390167
177 1 0.0 1.3751046 19.9390167 8.3401938
178 1 0.0 1.3751046 6.7675167 21.5116938
179 1 0.0 14.5466046 19.9390167 21.5116938
180 1 0.0 14.5466046 6.7675167 8.3401938
181 1 0.0 1.3751046 6.4039833 18.0028062
182 1 0.0 1.3751046 19.5754833 4.8313062
183 1 0.0 14.5466046 6.4039833 4.8313062
184 1 0.0 14.5466046 19.5754833 18.0028062
185 1 0.0 24.9678954 19.9390167 18.0028062
186 1 0.0 24.9678954 6.7675167 4.8313062
187 1 0.0 11.7963954 19.9390167 4.8313062
188 1 0.0 11.7963954 6.7675167 18.0028062
189 1 0.0 24.9678954 6.4039833 8.3401938
190 1 0.0 24.9678954 19.5754833 21.5116938
191 1 0.0 11.7963954 6.4039833 21.5116938
192 1 0.0 11.7963954 19.5754833 8.3401938
193 2 0.0 7.5156579 7.5156579 0.0
194 2 0.0 7.5156579 20.6871579 13.1715
195 2 0.0 20.6871579 7.5156579 13.1715
196 2 0.0 20.6871579 20.6871579 0.0
197 2 0.0 18.8273421 18.8273421 0.0
198 2 0.0 18.8273421 5.6558421 13.1715
199 2 0.0 5.6558421 18.8273421 13.1715
200 2 0.0 5.6558421 5.6558421 0.0
201 2 0.0 18.8273421 7.5156579 0.0
202 2 0.0 18.8273421 20.6871579 13.1715
203 2 0.0 5.6558421 7.5156579 13.1715
204 2 0.0 5.6558421 20.6871579 0.0
205 2 0.0 7.5156579 18.8273421 0.0
206 2 0.0 7.5156579 5.6558421 13.1715
207 2 0.0 20.6871579 18.8273421 13.1715
208 2 0.0 20.6871579 5.6558421 0.0
209 2 0.0 0.0 7.5156579 7.5156579
210 2 0.0 0.0 20.6871579 20.6871579
211 2 0.0 13.1715 7.5156579 20.6871579
212 2 0.0 13.1715 20.6871579 7.5156579
213 2 0.0 0.0 18.8273421 18.8273421
214 2 0.0 0.0 5.6558421 5.6558421
